tick;name;2024;2023;2022;2021;2020;2019;2018;2017;2016
AMCX.OQ;AMC Networks Inc;7.974243714;8.267450793;5.324341423;4.878632614;4.570153352;3.213781729;2.741205043;3.318977424;3.480477103
AMCR.N;Amcor PLC;31.53375527;35.75831958;41.14703367;43.32007219;39.3696475;39.68999152;40.96341061;40.88618344;37.37302066
DOX.OQ;Amdocs Ltd;0.290038674;0.507153783;0.485963195;0.472022569;0.273470127;0.415490955;0.257918418;0.312608068;
AMED.OQ;Amedisys Inc;5.653550665;5.653558315;12.66428906;12.82959243;13.05969931;6.580342869;6.91748776;6.212374687;
AMTM.N;Amentum Holdings Inc;;;;;;;;;
AS.N;Amer Sports Inc;;;;;;;;;
AMTB.N;Amerant Bancorp Inc;10.46828137;8.167500506;5.573392892;1.508949958;1.835579238;;;;
AEE.N;Ameren Corp;3133.142516;4415.059274;4481.745771;4130.905415;4703.223017;4891.541302;4410.07686;4681.564119;
AMRC.N;Ameresco Inc;177.6169961;247.3414494;305.6777231;363.6797769;509.8988798;57.98693926;;;
CRMT.OQ;America's CAR-MART Inc;42.07812995;42.85863416;27.63201653;9.708194245;14.7807892;50.30132043;;;
AAL.OQ;American Airlines Group Inc;707.1290968;964.1334583;1144.038646;898.9575031;904.255697;916.4612407;969.3753176;1015.247621;
AAT.N;American Assets Trust Inc;15.79565028;15.79565028;13.80418702;16.47367533;16.50210912;6.878622453;7.521304369;8.602478325;8.792644473
AXL.N;American Axle & Manufacturing Holdings Inc;14.817834;16.87798162;16.13091195;21.07090906;20.4743893;10.05542949;10.26064263;;
AEO.N;American Eagle Outfitters Inc;2.473631366;2.355516795;2.072297374;2.213679364;2.466226596;8.393204628;6.757697929;5.004417562;4.062155903
AEP.OQ;American Electric Power Company Inc;2601.899234;3358.806575;3302.702819;4162.62727;4653.163864;5106.05709;6054.088131;6601.187915;
AXP.N;American Express Co;0.540954973;0.414445119;0.59489603;0.540019949;0.57612012;0.641633694;0.705905206;0.82155408;
AFG.N;American Financial Group Inc;0.625649178;0.594953779;0.599505986;0.735604811;0.798046265;0.838239121;0.841127324;0.858211382;0.815632388
AHR.N;American Healthcare REIT Inc;;;;;;;;;
AMH.N;American Homes 4 Rent;5.95020443;5.751645388;5.936896033;3.279289729;3.169219354;9.035987354;9.140616327;9.226093558;9.62315893
AIG.N;American International Group Inc;0.136148252;0.325123247;0.140753613;0.34296875;0.011325962;0.019321474;0.020877051;0.021316758;
AWR.N;American States Water Co;5.155827468;5.29449475;500.6982197;472.3746072;448.0228158;429.9307813;426.4319654;;
AMSC.OQ;American Superconductor Corp;4.777368737;4.813252264;5.77964798;6.284023756;9.046172909;9.210383198;9.244323182;;
AMT.N;American Tower Corp;58.69761276;66.81154985;62.8985064;61.40392189;62.73980374;71.04375051;9.075650049;9.62315893;
AVD.N;American Vanguard Corp;9.022087711;17.95744803;6.840233682;246.6733968;141.7593639;145.1668828;147.9249711;;
AWK.N;American Water Works Company Inc;18.38633966;18.6913486;17.05824729;21.0265928;19.51918605;18.34286565;17.53543307;18.84013928;
AMWD.OQ;American Woodmark Corp;;19.1350008;23.42217344;39.65714027;54.32651235;113.9275122;36.0087637;33.40211501;33.28665644
COLD.N;Americold Realty Trust Inc;20.51574818;20.45842854;12.77980986;4.612806487;0.650331753;46.32265298;46.56890488;;
AMP.N;Ameriprise Financial Inc;0.522548268;0.523022185;0.532991148;0.548921224;0.582699767;0.142621479;0.141810345;0.159187431;1.480306394
ABCB.N;Ameris Bancorp;5.183014619;4.00586238;3.778829301;3.632617232;2.08434913;1.569503851;2.830174149;3.373834893;
AMSF.OQ;Amerisafe Inc;0.574416573;0.654130871;0.759073794;0.83271633;0.806770867;0.791665043;;;
AME.N;AMETEK Inc;4.389865589;4.831867246;5.638730502;5.505415565;8.563648796;7.687340152;7.298155219;7.221114163;
AMGN.OQ;Amgen Inc;4.949701782;5.122752993;5.4655837;5.81945039;6.745441529;7.149634557;5.073420034;5.801588034;
FOLD.OQ;Amicus Therapeutics Inc;6.122661092;6.572253236;14.67941762;17.39477776;19.19073478;19.90230017;20.02097431;;
AMKR.OQ;Amkor Technology Inc;9.048351639;8.859303752;8.475080827;10.91775258;11.76408432;9.021326441;8.394161792;17.66627663;
POWW.OQ;Ammo Inc;16.90361846;17.08534325;3.480760005;;;;;;
AMN.N;AMN Healthcare Services Inc;0.224588967;0.290520141;0.386574421;0.488345751;0.525190811;0.542430709;0.574168401;0.692906916;
AMRX.OQ;Amneal Pharmaceuticals Inc;8.123897305;8.587485911;9.519315274;10.40499431;11.73469388;14.44176794;14.81874322;23.46134875;
AMPH.OQ;Amphastar Pharmaceuticals Inc;17.02441279;18.66134693;18.90457006;18.64322798;16.95938326;17.83474336;17.79154684;;
APH.N;Amphenol Corp;3.476273469;3.476273469;3.499075973;3.638023468;4.84523549;4.666666667;5.460898835;0.269629677;9.713728259
AMPY.N;Amplify Energy Corp;461.6626241;461.6626241;681.7762951;1310.709197;1010.189604;1937.547031;864.403036;;
AMPL.OQ;Amplitude Inc;1.029807969;1.042843721;;;;;;;
ADI.OQ;Analog Devices Inc;14.62961916;14.62951557;23.1002051;30.07055435;27.16378474;8.644126638;10.60831961;22.9940355;11.03158959
ANAB.OQ;AnaptysBio Inc;6.122661092;6.572253236;14.67941762;17.39477776;19.19073478;19.90230017;;;
AVXL.O;Anavex Life Sciences Corp;;;;;;;;;
ANDE.OQ;Andersons Inc;30.99385873;42.12882866;52.76818917;51.24530187;74.30514388;89.42838061;81.5597484;;
ANGO.OQ;AngioDynamics Inc;9.268089764;9.475979907;9.601881822;14.6747054;14.6319595;17.47677496;18.91338443;;
ANIP.OQ;ANI Pharmaceuticals Inc;17.02435898;18.66134693;18.90457006;18.64322798;16.95938326;17.83474336;17.79154684;;
ANIK.OQ;Anika Therapeutics Inc;9.354261919;9.632863105;18.66134693;18.90457006;18.64322798;16.95552721;17.83474336;17.79154684;
NLY.N;Annaly Capital Management Inc;0.638288041;0.055862701;1.404365377;0.77812833;0.317890912;0.317536527;0.349141474;0.49957709;
ANNX.OQ;Annexon Inc;;;;;;;;;
ANSS.OQ;ANSYS Inc;0.70586393;0.705865266;0.684421415;1.400109558;1.292968101;2.380961234;2.209815294;2.43493489;29.93960918
ATEX.OQ;Anterix Inc;4.536252336;4.720262988;5.082300419;5.059335531;4.72462728;4.72462728;4.750498717;;
AM.N;Antero Midstream Corp;2046.156731;1825.29097;1725.932283;1845.388777;;;;;
AR.N;Antero Resources Corp;34.17903632;58.46781962;136.9098539;123.3969728;125.7567713;124.9842022;517.9301593;434.4094709;
HOUS.N;Anywhere Real Estate Inc;4.186621439;4.598814372;4.802702414;4.606242913;4.898538625;5.271350761;5.122152707;5.129407939;
AON.N;Aon PLC;0.464219889;0.464219889;0.506602149;0.39716248;0.710306002;1.072766945;2.354770954;2.629078542;2.663139195
APA.OQ;APA Corp (US);492.3702032;492.3702032;755.6668754;1418.263811;1124.634109;983.7767683;1170.375403;627.9113099;471.5821813
AIV.N;Apartment Investment and Management Co;19.92620246;10.59133565;8.750912881;8.22007508;8.887367533;9.076108227;9.075650049;9.62315893;
APLS.O;Apellis Pharmaceuticals Inc;6.122661092;6.572253236;14.67941762;;;;;;
APG.N;APi Group Corp;54.82816767;58.66906766;61.3043908;62.10454962;;;;;
APOG.OQ;Apogee Enterprises Inc;24.31040466;1252.449113;1340.194856;1400.389771;1418.667976;1444.112686;1478.825323;1506.922164;
APGE.OQ;Apogee Therapeutics Inc;;;;;;;;;
ARI.N;Apollo Commercial Real Estate Finance Inc;24.2769643;21.9824317;21.04035701;6.457166982;5.996322636;4.827977488;5.596372124;4.36102366;
APO.N;Apollo Global Management Inc;0.108011712;0.120242474;0.038714737;0.089655181;0.058220175;2.178404147;1.797909822;;
APPF.OQ;Appfolio Inc;1.042843721;1.293037035;1.778324974;2.196640189;2.380968596;2.209815294;2.43493489;;
APPN.OQ;Appian Corp;1.042843721;1.293037035;1.778324974;2.196640189;2.380968596;;;;
APLE.N;Apple Hospitality REIT Inc;16.15801437;16.65075276;16.80109717;16.79765683;9.078998088;9.195511228;9.074316196;9.786909698;
AAPL.OQ;Apple Inc;0.139984987;0.15089512;0.172777444;0.202672058;0.205538508;0.198037813;0.159154884;0.120231906;
APLD.O;Applied Digital Corp;3.694812684;;;;;;;;
AIT.N;Applied Industrial Technologies Inc;7.387616451;5.71707159;5.717075824;5.853989186;79.87524195;78.50557134;55.8911629;72.26556312;
AMAT.OQ;Applied Materials Inc;2.581074268;2.073494342;3.226717824;4.447220701;2.305656989;2.482650701;2.275750577;3.609276323;
AAOI.OQ;Applied Optoelectronics Inc;1.483103363;1.322853524;1.093413388;1.145892203;1.357101779;2.066628344;5.863762595;;
APLT.OQ;Applied Therapeutics Inc;;;;;;;;;
APP.OQ;Applovin Corp;;;;;;;;;
ATR.N;Aptargroup Inc;7.762813684;7.762811348;7.412261947;7.090334342;7.37586599;7.421256304;7.130814896;6.886080859;8.125502503
APTV.N;Aptiv PLC;1.220258532;1.305416827;1.920327568;1.911402104;1.383195705;1.510292611;1.585351964;4.253037555;
AQST.OQ;Aquestive Therapeutics Inc;17.02441279;18.66134693;18.90457006;10.40499431;;;;;
ARMK.N;Aramark;20.72672816;26.21321098;25.7173298;22.64347375;20.66675407;20.3215636;18.80468513;17.94944714;
ABR.N;Arbor Realty Trust Inc;4.081089029;1.162835295;2.645381634;2.718841084;2.343839429;8.142059697;;;
ABUS.OQ;Arbutus Biopharma Corp;5.89056311;6.515324227;15.4429883;17.71863592;18.28302775;46.09109246;;;
ALTM.N;Arcadium Lithium PLC;;;;;;;;;
ARCB.OQ;ArcBest Corp;115.6896536;94.21267644;144.3844631;245.5646167;257.3360863;249.8555169;316.0254359;301.4793883;
ACLX.OQ;Arcellx Inc;5.740965295;;;;;;;;
ACGL.OQ;Arch Capital Group Ltd;0.108364437;0.100184835;0.089573801;0.148067782;0.662151545;0.654221746;0.674032971;0.755201844;
ARCH.N;Arch Resources Inc;2046.158584;2337.284183;2334.864049;2321.979846;2433.641324;2232.623839;1829.96169;;
ACHR.N;Archer Aviation Inc;;;;;;;;;
